"intnum";"prop.mis";"num.int"
100;0.25;4
111;0.214285714285714;14
112;0.222222222222222;9
119;0.222222222222222;9
124;0.153846153846154;13
129;0.333333333333333;6
131;0.4;15
138;0.181818181818182;11
139;0.1875;16
141;0.2;15
154;0.214285714285714;14
170;0.315789473684211;19
173;0.285714285714286;14
175;0.636363636363636;11
178;0.125;8
181;0.181818181818182;11
186;0;9
189;0;4
190;0.277777777777778;18
213;0.333333333333333;9
215;0.666666666666667;9
216;0.428571428571429;7
217;0;8
222;0.333333333333333;9
227;0.333333333333333;6
237;0.533333333333333;15
242;0.2;10
248;0.533333333333333;15
249;0.2;10
253;0.384615384615385;13
256;0.111111111111111;9
263;0.333333333333333;9
264;0.222222222222222;18
268;0.428571428571429;7
271;1;7
272;0;14
276;0.214285714285714;14
278;0.333333333333333;9
281;0.333333333333333;12
287;0.2;25
294;0.357142857142857;14
314;0.555555555555556;9
316;0;5
323;0.125;8
324;0.444444444444444;9
328;0.2;5
329;0.4;10
340;0.111111111111111;9
344;0;6
345;0.111111111111111;9
348;0.208333333333333;24
353;0.111111111111111;9
358;0.428571428571429;21
367;0.375;8
374;0.5;8
375;0.0833333333333333;12
376;0.181818181818182;11
378;0.125;8
386;0.25;8
389;0.3;10
392;0;4
393;0.25;4
407;0.555555555555556;9
408;0.235294117647059;17
422;0.235294117647059;17
424;0.125;8
431;0.5;4
442;0.263157894736842;19
444;0;3
446;0.0909090909090909;11
449;0.5;12
453;0.125;8
468;0.333333333333333;9
470;0.25;4
471;0.3;10
475;0.555555555555556;9
476;0.7;10
479;0.2;10
481;0.333333333333333;9
487;0.6;10
489;0;4
492;0.533333333333333;15
496;0.555555555555556;9
500;0.444444444444444;9
501;0.5;18
507;0.307692307692308;13
516;0.111111111111111;9
517;0.428571428571429;7
519;0.4;5
522;0.363636363636364;11
534;0.2;5
539;0.0909090909090909;11
540;0.4;20
542;0.181818181818182;11
549;0.25;8
551;0;13
554;0.1;10
570;0.0909090909090909;11
574;0.5;12
581;0.2;5
583;0.615384615384615;13
584;0.333333333333333;3
587;0.375;8
589;0.3;10
595;0.222222222222222;9
608;0.357142857142857;14
610;0.263157894736842;19
611;0.181818181818182;11
613;0.25;4
616;0.375;16
621;0.263157894736842;19
622;0.1875;16
635;0.25;12
639;0.375;8
647;0.285714285714286;7
652;0.35;20
662;0.25;4
668;0.125;8
669;0.363636363636364;11
671;0.0769230769230769;13
681;0.444444444444444;18
685;0;9
693;0.476190476190476;21
696;0;9
698;0.214285714285714;14
704;0.625;8
713;0.176470588235294;17
718;0.0909090909090909;11
719;0.454545454545455;11
725;0.352941176470588;17
731;0.4;15
756;0.411764705882353;17
768;0.111111111111111;9
769;0.263157894736842;19
774;0.277777777777778;18
783;0.2;10
790;0.25;8
796;0.444444444444444;18
798;0.333333333333333;12
802;0.125;8
807;0.25;20
818;0.25;12
819;0.2;20
821;0.0769230769230769;13
822;0.428571428571429;7
825;0.125;16
833;0.583333333333333;12
836;0.25;8
839;0.1875;16
841;0.375;8
845;0.368421052631579;19
856;0.466666666666667;15
863;0.111111111111111;9
867;0.3;10
870;0.111111111111111;9
879;0.357142857142857;14
881;0.222222222222222;18
890;0.352941176470588;17
903;0.4;10
910;0.6;10
913;0.428571428571429;7
920;0.384615384615385;13
924;0.5;8
926;0.142857142857143;7
931;0.222222222222222;9
932;0.363636363636364;11
933;0.153846153846154;13
936;0.428571428571429;7
942;0.5;4
944;0.1;10
956;0.444444444444444;9
958;0.777777777777778;9
960;0.444444444444444;18
964;0.272727272727273;22
969;0.666666666666667;9
978;0.25;8
982;0.363636363636364;11
986;0.4;10
987;0.4;5
988;0.111111111111111;9
992;0.625;8
996;0.5;2
1004;0.272727272727273;11
1008;0.45;20
1011;0.176470588235294;17
1014;0.6;5
1017;0.25;8
1018;0.272727272727273;11
1021;0.3125;16
1028;0.666666666666667;9
1047;0.272727272727273;22
1048;0.578947368421053;19
1063;0.222222222222222;9
1066;0.3;10
1068;0.111111111111111;9
1069;0.2;5
1070;0.181818181818182;11
1074;0.214285714285714;14
1092;0.230769230769231;13
1093;0.5;18
1095;0.461538461538462;13
1097;0.444444444444444;9
1098;0.444444444444444;9
1103;0.541666666666667;24
1105;0.315789473684211;19
1108;0.294117647058824;17
1109;0.357142857142857;14
1112;0.25;4
1113;0.444444444444444;9
1125;0;19
1132;0.285714285714286;7
1133;0.2;5
1145;0.25;20
1146;0.2;10
1149;0.4;15
1150;0.2;10
1153;0.333333333333333;9
1154;0.333333333333333;9
1155;0;10
