"intnum";"avg_mulligan"
100;0.350680735892416
111;0.43828795093684
112;0.265130423390425
119;0.47595606011946
124;0.246651991969889
129;0.534191270383269
131;0.447649940114253
138;0.400679479249125
139;0.312096025885372
141;0.379979757842455
154;0.314083975732574
170;0.289126646647472
173;0.447482853124317
175;0.252612997881729
178;0.283713436339438
181;0.383616701658503
186;0.405728555819372
189;0.316038901289845
190;0.410181540519439
213;0.35848934032237
215;0.398134874728832
216;0.388088825115607
217;0.521089489721425
222;0.29001792713294
227;0.345426503490647
237;0.473909618906319
242;0.441760740524511
248;0.378461454116352
249;0.361819544809306
253;0.534181872130634
256;0.35806510983816
263;0.391243141888058
264;0.403067538661998
268;0.432791187280202
271;0.213469036697564
272;0.34300920010845
276;0.434224351713343
278;0.343819237944239
281;0.440521782204603
287;0.372621908758083
294;0.380368052046901
314;0.446943143310215
316;0.35807266085599
323;0.502132226722411
324;0.295728281601122
328;0.364052316555025
329;0.395044860330776
340;0.285846276252463
344;0.378562564707476
345;0.338145808441739
348;0.381696535226316
353;0.388148834066755
358;0.393573636365526
367;0.32880875054861
374;0.341225091030224
375;0.393035284812772
376;0.365116855203994
378;0.462659090031723
386;0.23066289639542
389;0.420615977827981
392;0.323400297433311
393;0.492405873142119
407;0.48689205785867
408;0.354789139447221
422;0.406338144776681
424;0.460003136792078
431;0.409785174750021
442;0.342200265433861
444;0.427429362254056
446;0.356597067160947
449;0.399534871568516
453;0.176008229320973
468;0.333564120405671
470;0.344175459669927
471;0.328533237794399
475;0.368770619850212
476;0.357367678895963
479;0.271357405792922
481;0.336908358612229
487;0.405909925502256
489;0.364507778424577
492;0.394373089568049
496;0.331913882391687
500;0.289099257781006
501;0.390205069090125
507;0.356032383722841
516;0.282331990686286
517;0.291585640892627
519;0.321745993423485
522;0.270514116949488
534;0.27615567367964
539;0.386472937211451
540;0.464501575767626
542;0.303939898041864
549;0.387367048162415
551;0.291126359344308
554;0.41176782704809
570;0.341079424175355
574;0.308103534856474
581;0.330305407361616
583;0.364382110557417
584;0.266013649369277
587;0.423104939597713
589;0.430028809707315
595;0.281277973896818
608;0.347153793001568
610;0.261167268030858
611;0.296148861980927
613;0.421403753089815
616;0.334750421460097
621;0.381559196444094
622;0.429616254262757
635;0.310970513168417
639;0.508943912013882
647;0.418054422263387
652;0.389573081389901
662;0.304977531992806
668;0.186714780711534
669;0.303968498945018
671;0.478309636907578
681;0.420034205980017
685;0.266698293078936
693;0.363493826669638
696;0.365469486441148
698;0.456942106410347
704;0.480225475017524
713;0.370268715376271
718;0.436255983147203
719;0.298131561202269
725;0.255021830034487
731;0.387856281823121
756;0.296866709264783
768;0.404101203964717
769;0.3872093652447
774;0.333110445829208
783;0.459476769364749
790;0.293957179697409
796;0.365031900974197
798;0.251578380995222
802;0.409473857691531
807;0.317586180964525
818;0.296793347829375
819;0.42207827084583
821;0.231963154700927
822;0.449702296337144
825;0.327573569097297
833;0.497063501513136
836;0.279496155324433
839;0.330825581959717
841;0.45344950702285
845;0.455349948906964
856;0.26516435589575
863;0.319879865154009
867;0.366597250322143
870;0.33606580564155
879;0.43926635196082
881;0.34291541950571
890;0.330977897341397
903;0.405959471151293
910;0.265766097958423
913;0.389837595078074
920;0.312549824872627
924;0.23111947267443
926;0.516010781653982
931;0.357394816287855
932;0.344297142993546
933;0.399094428537335
936;0.354743246094361
942;0.418819206551427
944;0.36573755122101
956;0.224341792849596
958;0.181010652837532
960;0.353347804806603
964;0.322189469719839
969;0.431518512019486
978;0.2683001356716
982;0.397611331724997
986;0.199511612614369
987;0.391259786571613
988;0.352145103080687
992;0.45594334461483
996;0.166170022017498
1004;0.431679079466183
1008;0.411523613477325
1011;0.481027399516612
1014;0.301631051868911
1017;0.42895786521175
1018;0.431230997619518
1021;0.26608087958355
1028;0.416305430651913
1047;0.344719420699538
1048;0.401824105696753
1063;0.3002942757471
1066;0.268676784713396
1068;0.293216345193234
1069;0.279544575633857
1070;0.376528678026188
1074;0.2332432439408
1092;0.400239771234134
1093;0.253778147954702
1095;0.218265732519308
1097;0.489126118328956
1098;0.383227010728635
1103;0.320945840383356
1105;0.387870197503719
1108;0.396729333451325
1109;0.349653548267241
1112;0.310319122969703
1113;0.453005253107001
1125;0.329644036630205
1132;0.278648366536938
1133;0.416871220577642
1145;0.327496221747907
1146;0.347984247634351
1149;0.347942105385528
1150;0.549168035773492
1153;0.440950724863325
1154;0.140734583445957
1155;0.445397831837421
