"idno";"intnum";"speed"
12592;"264";1260
12602;"324";315
12623;"685";1260
12624;"1105";180
12627;"769";420
12633;"348";420
12634;"1068";630
12657;"345";1260
12669;"1103";1260
12673;"358";630
12676;"589";1260
12678;"681";315
12689;"790";1260
12693;"621";315
12715;"375";1260
12717;"268";1260
12734;"507";1260
12743;"507";315
12749;"913";630
12782;"281";630
12792;"881";420
12803;"237";210
12819;"353";180
12824;"367";630
12835;"1021";1260
12845;"652";1260
12850;"540";1260
12863;"492";1260
12868;"154";210
12874;"1125";157.5
12883;"839";315
12887;"294";1260
12890;"175";252
12891;"903";252
12893;"731";420
12900;"693";630
12901;"281";1260
12910;"314";630
12918;"936";1260
12924;"487";252
12925;"248";1260
12930;"376";630
12934;"389";210
12939;"1108";630
12946;"608";315
12948;"190";630
12953;"1108";1260
12961;"881";630
12965;"353";315
12987;"424";1260
12995;"186";1260
13005;"652";180
13012;"958";1260
13017;"216";1260
13030;"932";1260
13032;"1066";315
13035;"1150";630
13037;"988";315
13039;"1093";315
13066;"718";420
13068;"237";1260
13082;"595";1260
13108;"839";1260
13123;"920";1260
13125;"932";420
13127;"936";1260
13141;"924";157.5
13142;"982";1260
13156;"340";1260
13167;"554";1260
13168;"1112";630
13169;"583";180
13170;"574";1260
13185;"190";180
13186;"819";1260
13187;"890";1260
13192;"769";630
13193;"769";630
13197;"798";140
13215;"287";1260
13216;"392";630
13217;"668";315
13226;"367";252
13232;"1113";630
13237;"181";1260
13261;"522";210
13268;"881";420
13269;"863";252
13278;"500";315
13282;"119";1260
13288;"768";252
13298;"374";420
13300;"492";1260
13303;"217";630
13318;"264";1260
13319;"621";420
13325;"501";630
13330;"271";630
13331;"668";630
13332;"190";1260
13337;"960";210
13338;"1074";252
13340;"1133";180
13359;"718";1260
13381;"522";252
13397;"407";315
13405;"287";180
13406;"1098";1260
13409;"982";630
13423;"276";180
13427;"487";420
13437;"574";180
13441;"476";420
13443;"774";315
13455;"1153";180
13464;"819";140
13466;"253";1260
13477;"237";1260
13479;"987";630
13484;"1011";1260
13486;"1074";1260
13492;"551";210
13497;"542";420
13500;"154";1260
13502;"1070";630
13508;"662";630
13512;"476";1260
13513;"278";252
13528;"453";180
13530;"386";315
13540;"468";1260
13548;"422";630
13552;"1047";630
13572;"1155";315
13582;"376";1260
13592;"348";252
13619;"608";180
13629;"1066";630
13632;"807";630
13653;"1066";210
13660;"442";630
13666;"422";1260
13667;"1021";630
13675;"982";1260
13676;"344";420
13688;"1011";252
13689;"170";1260
13698;"374";630
13699;"348";420
13711;"819";140
13725;"554";1260
13726;"268";420
13749;"170";180
13752;"725";1260
13757;"492";1260
13763;"539";180
13777;"1021";420
13793;"725";315
13795;"821";157.5
13796;"178";630
13803;"189";420
13804;"960";1260
13809;"1047";252
13815;"713";420
13824;"790";420
13848;"610";630
13849;"910";1260
13862;"608";210
13870;"583";1260
13882;"1047";420
13884;"825";180
13886;"540";180
13889;"1048";252
13892;"222";420
13913;"340";1260
13914;"863";315
13918;"263";252
13923;"1105";252
13946;"278";1260
13950;"278";630
13951;"652";1260
13967;"328";180
13976;"713";252
13981;"756";315
13994;"583";180
14001;"920";1260
14002;"242";252
14006;"272";1260
14014;"540";1260
14020;"988";1260
14032;"819";315
14033;"595";1260
14035;"489";420
14051;"718";630
14052;"845";1260
14063;"1109";1260
14065;"1105";420
14070;"378";1260
14075;"870";315
14078;"693";210
14084;"825";1260
14091;"1008";1260
14097;"444";420
14104;"378";1260
14114;"639";1260
14123;"698";630
14150;"956";630
14159;"222";630
14166;"1018";315
14169;"769";630
14170;"1092";630
14175;"969";420
14181;"522";210
14191;"1070";420
14192;"796";1260
14195;"501";420
14200;"358";315
14206;"468";420
14212;"476";1260
14217;"1132";1260
14230;"389";630
14243;"807";1260
14267;"719";630
14272;"796";1260
14273;"570";315
14284;"1008";420
14297;"242";252
14304;"1047";1260
14305;"1004";1260
14308;"798";630
14311;"481";1260
14314;"910";1260
14342;"271";420
14348;"704";157.5
14352;"324";252
14364;"1105";630
14367;"1103";210
14377;"492";630
14380;"1008";630
14385;"1105";1260
14386;"222";420
14388;"264";1260
14390;"139";420
14395;"1125";630
14396;"856";1260
14399;"1048";1260
14400;"264";210
14402;"276";1260
14403;"522";1260
14408;"507";1260
14410;"798";630
14414;"802";630
14425;"671";1260
14433;"348";630
14444;"987";252
14445;"652";1260
14452;"119";630
14458;"698";420
14464;"681";630
14470;"958";1260
14474;"933";1260
14475;"112";1260
14481;"186";420
14487;"329";1260
14491;"769";630
14500;"353";420
14504;"681";1260
14509;"622";252
14510;"845";420
14517;"1154";180
14518;"756";420
14526;"487";630
14536;"818";1260
14539;"287";630
14543;"825";420
14544;"839";252
14546;"1155";1260
14547;"1018";1260
14548;"774";630
14552;"124";630
14564;"890";1260
14573;"611";630
14577;"856";315
14579;"731";1260
14603;"1066";1260
14618;"584";180
14627;"287";1260
14631;"621";252
14634;"453";630
14639;"890";1260
14648;"856";315
14670;"340";420
14686;"1092";315
14722;"554";1260
14737;"1047";315
14738;"213";1260
14745;"836";252
14748;"549";1260
14785;"1070";630
14792;"1011";140
14806;"481";420
14817;"112";420
14822;"1004";1260
14824;"890";1260
14838;"1069";420
14841;"181";315
14844;"1113";1260
14851;"119";1260
14854;"969";630
14860;"756";180
14864;"1125";420
14866;"696";630
14872;"393";1260
14883;"807";630
14897;"253";1260
14898;"836";210
14907;"446";630
14909;"960";630
14914;"798";1260
14930;"141";420
14940;"479";630
14946;"190";1260
14957;"1150";1260
14961;"358";630
14974;"833";252
14978;"731";315
14981;"1047";180
14985;"129";1260
15008;"1103";630
15015;"589";1260
15020;"386";420
15031;"964";1260
15034;"471";420
15049;"1095";1260
15055;"124";1260
15059;"595";180
15063;"1092";1260
15078;"1108";1260
15093;"468";420
15108;"1145";252
15115;"622";252
15129;"468";1260
15135;"393";630
15138;"323";1260
15151;"783";1260
15163;"389";420
15164;"725";1260
15177;"408";315
15195;"621";630
15206;"271";630
15217;"611";630
15225;"1108";630
15226;"154";630
15227;"170";140
15232;"863";1260
15240;"802";1260
15244;"551";1260
15249;"408";315
15256;"671";1260
15258;"931";1260
15262;"345";252
15272;"111";1260
15273;"1018";630
15278;"353";630
15294;"353";315
15300;"1048";180
15315;"1068";180
15324;"253";630
15326;"841";420
15333;"635";1260
15334;"375";1260
15335;"100";630
15350;"1153";1260
15352;"487";630
15355;"635";630
15357;"942";315
15358;"516";420
15360;"1074";1260
15362;"774";252
15384;"668";1260
15388;"841";630
15391;"471";180
15392;"1109";420
15403;"924";630
15411;"378";1260
15424;"213";180
15430;"253";1260
15437;"818";1260
15443;"693";180
15455;"769";1260
15458;"988";180
15461;"407";1260
15463;"668";252
15466;"704";420
