"idno";"intnum";"int_period";"duration"
487;144;2021-07-17 08:05:00 UTC--2021-07-17 08:50:00 UTC;45
489;144;2021-07-24 15:30:00 UTC--2021-07-24 16:26:00 UTC;56
490;144;2021-07-19 16:18:00 UTC--2021-07-19 17:06:00 UTC;48
491;144;2021-07-23 16:59:00 UTC--2021-07-23 17:50:00 UTC;51
492;144;2021-07-15 17:38:00 UTC--2021-07-15 18:23:00 UTC;45
497;24;2021-09-15 20:05:00 UTC--2021-09-15 20:52:00 UTC;47
498;24;2021-09-15 21:35:00 UTC--2021-09-15 22:32:00 UTC;57
499;187;2021-07-15 15:30:00 UTC--2021-07-15 16:12:00 UTC;42
500;187;2021-07-25 15:15:00 UTC--2021-07-25 16:22:00 UTC;67
501;187;2021-07-20 17:00:00 UTC--2021-07-20 17:55:00 UTC;55
505;182;2021-08-17 11:13:00 UTC--2021-08-17 11:53:00 UTC;40
507;182;2021-08-26 18:18:00 UTC--2021-08-26 18:58:00 UTC;40
508;182;2021-08-17 15:04:00 UTC--2021-08-17 15:53:00 UTC;49
509;182;2021-08-17 16:57:00 UTC--2021-08-17 17:36:00 UTC;39
510;182;2021-08-20 18:12:00 UTC--2021-08-20 19:02:00 UTC;50
512;163;2021-08-13 18:10:00 UTC--2021-08-13 19:19:00 UTC;69
513;163;2021-08-08 17:17:00 UTC--2021-08-08 18:25:00 UTC;68
515;163;2021-08-12 15:52:00 UTC--2021-08-12 16:41:00 UTC;49
516;163;2021-08-11 13:12:00 UTC--2021-08-11 13:57:00 UTC;45
518;51;2021-08-14 19:31:00 UTC--2021-08-14 20:27:00 UTC;56
519;51;2021-08-12 13:06:00 UTC--2021-08-12 14:10:00 UTC;64
520;51;2021-08-09 08:39:00 UTC--2021-08-09 09:24:00 UTC;45
521;51;2021-08-09 10:47:00 UTC--2021-08-09 11:50:00 UTC;63
523;34;2021-07-24 16:21:00 UTC--2021-07-24 17:00:00 UTC;39
524;34;2021-07-27 13:48:00 UTC--2021-07-27 14:46:00 UTC;58
525;34;2021-07-24 19:00:00 UTC--2021-07-24 19:45:00 UTC;45
527;34;2021-07-29 19:18:00 UTC--2021-07-29 20:10:00 UTC;52
528;34;2021-07-28 16:41:00 UTC--2021-07-28 17:26:00 UTC;45
530;158;2021-08-04 11:38:00 UTC--2021-08-04 12:36:00 UTC;58
531;158;2021-08-08 17:29:00 UTC--2021-08-08 18:36:00 UTC;67
532;158;2021-08-05 14:34:00 UTC--2021-08-05 15:34:00 UTC;60
533;158;2021-08-07 16:55:00 UTC--2021-08-07 17:53:00 UTC;58
534;158;2021-08-10 16:08:00 UTC--2021-08-10 17:00:00 UTC;52
535;147;2021-08-05 20:19:00 UTC--2021-08-05 20:54:00 UTC;35
537;147;2021-08-04 13:34:00 UTC--2021-08-04 14:16:00 UTC;42
539;147;2021-08-10 14:56:00 UTC--2021-08-10 15:52:00 UTC;56
540;147;2021-08-05 21:41:00 UTC--2021-08-05 22:37:00 UTC;56
542;46;2021-08-05 16:21:00 UTC--2021-08-05 17:09:00 UTC;48
543;46;2021-08-07 18:39:00 UTC--2021-08-07 19:20:00 UTC;41
545;46;2021-08-07 21:04:00 UTC--2021-08-07 21:42:00 UTC;38
548;53;2021-07-26 13:59:00 UTC--2021-07-26 14:39:00 UTC;40
549;53;2021-07-24 09:55:00 UTC--2021-07-24 10:31:00 UTC;36
550;53;2021-07-30 17:58:00 UTC--2021-07-30 19:06:00 UTC;68
551;53;2021-07-22 18:48:00 UTC--2021-07-22 19:49:00 UTC;61
552;53;2021-07-23 18:26:00 UTC--2021-07-23 19:08:00 UTC;42
554;120;2021-08-10 14:15:00 UTC--2021-08-10 15:04:00 UTC;49
557;120;2021-08-07 16:00:00 UTC--2021-08-07 16:41:00 UTC;41
559;188;2021-08-13 10:19:00 UTC--2021-08-13 11:31:00 UTC;72
560;188;2021-08-08 12:35:00 UTC--2021-08-08 13:17:00 UTC;42
561;188;2021-08-17 17:51:00 UTC--2021-08-17 18:44:00 UTC;53
564;188;2021-08-05 17:01:00 UTC--2021-08-05 18:02:00 UTC;61
565;162;2021-07-07 15:01:00 UTC--2021-07-07 15:55:00 UTC;54
566;162;2021-07-12 16:57:00 UTC--2021-07-12 18:43:00 UTC;106
569;162;2021-07-11 19:27:00 UTC--2021-07-11 20:18:00 UTC;51
570;162;2021-07-10 20:02:00 UTC--2021-07-10 20:55:00 UTC;53
572;34;2021-07-29 17:12:00 UTC--2021-07-29 18:06:00 UTC;54
575;34;2021-08-08 10:10:00 UTC--2021-08-08 11:17:00 UTC;67
577;6;2021-08-02 12:46:00 UTC--2021-08-02 14:02:00 UTC;76
578;6;2021-08-01 12:29:00 UTC--2021-08-01 13:35:00 UTC;66
579;6;2021-08-07 15:18:00 UTC--2021-08-07 16:11:00 UTC;53
580;6;2021-07-31 19:22:00 UTC--2021-07-31 20:30:00 UTC;68
581;6;2021-07-29 19:40:00 UTC--2021-07-29 20:34:00 UTC;54
583;198;2021-08-10 17:10:00 UTC--2021-08-10 18:12:00 UTC;62
585;198;2021-08-07 10:17:00 UTC--2021-08-07 11:19:00 UTC;62
586;198;2021-08-11 18:49:00 UTC--2021-08-11 19:23:00 UTC;34
587;198;2021-08-12 18:22:00 UTC--2021-08-12 19:24:00 UTC;62
588;198;2021-08-12 20:08:00 UTC--2021-08-12 20:42:00 UTC;34
589;98;2021-08-23 13:42:00 UTC--2021-08-23 14:44:00 UTC;62
591;98;2021-08-25 12:28:00 UTC--2021-08-25 13:37:00 UTC;69
592;98;2021-08-27 13:37:00 UTC--2021-08-27 14:39:00 UTC;62
593;98;2021-08-25 14:33:00 UTC--2021-08-25 15:36:00 UTC;63
594;98;2021-09-01 16:21:00 UTC--2021-09-01 17:27:00 UTC;66
595;36;2021-08-04 20:37:00 UTC--2021-08-04 21:35:00 UTC;58
596;36;2021-08-06 22:00:00 UTC--2021-08-06 22:39:00 UTC;39
597;36;2021-08-08 21:55:00 UTC--2021-08-08 23:02:00 UTC;67
599;36;2021-08-07 18:32:00 UTC--2021-08-07 19:33:00 UTC;61
600;36;2021-08-09 21:49:00 UTC--2021-08-09 22:30:00 UTC;41
601;36;2021-08-02 17:07:00 UTC--2021-08-02 18:08:00 UTC;61
602;36;2021-07-21 14:35:00 UTC--2021-07-21 15:37:00 UTC;62
603;36;2021-07-24 18:14:00 UTC--2021-07-24 19:00:00 UTC;46
604;36;2021-07-27 15:49:00 UTC--2021-07-27 16:30:00 UTC;41
607;69;2021-07-10 10:07:00 UTC--2021-07-10 10:55:00 UTC;48
609;69;2021-07-11 14:23:00 UTC--2021-07-11 15:36:00 UTC;73
610;69;2021-07-11 17:24:00 UTC--2021-07-11 18:21:00 UTC;57
611;69;2021-07-11 20:04:00 UTC--2021-07-11 20:38:00 UTC;34
613;206;2021-07-18 10:28:00 UTC--2021-07-18 11:19:00 UTC;51
614;206;2021-07-22 18:03:00 UTC--2021-07-22 18:59:00 UTC;56
615;206;2021-07-19 15:20:00 UTC--2021-07-19 16:33:00 UTC;73
617;206;2021-07-13 13:41:00 UTC--2021-07-13 14:37:00 UTC;56
618;206;2021-07-16 10:00:00 UTC--2021-07-16 10:55:00 UTC;55
620;45;2021-09-13 14:16:00 UTC--2021-09-13 15:26:00 UTC;70
621;45;2021-09-15 11:27:00 UTC--2021-09-15 12:03:00 UTC;36
623;45;2021-09-14 11:08:00 UTC--2021-09-14 11:54:00 UTC;46
624;45;2021-09-15 14:10:00 UTC--2021-09-15 15:41:00 UTC;91
625;189;2021-08-20 18:03:00 UTC--2021-08-20 19:21:00 UTC;78
626;189;2021-08-19 11:16:00 UTC--2021-08-19 12:12:00 UTC;56
627;189;2021-08-26 18:18:00 UTC--2021-08-26 19:09:00 UTC;51
628;189;2021-08-16 13:14:00 UTC--2021-08-16 13:53:00 UTC;39
630;189;2021-08-14 12:50:00 UTC--2021-08-14 13:43:00 UTC;53
632;184;2021-08-10 16:59:00 UTC--2021-08-10 17:47:00 UTC;48
633;184;2021-08-09 12:33:00 UTC--2021-08-09 13:26:00 UTC;53
634;184;2021-08-08 11:09:00 UTC--2021-08-08 12:06:00 UTC;57
635;184;2021-08-11 16:46:00 UTC--2021-08-11 17:31:00 UTC;45
636;184;2021-08-15 17:18:00 UTC--2021-08-15 18:38:00 UTC;80
637;106;2021-08-30 15:15:00 UTC--2021-08-30 16:29:00 UTC;74
638;106;2021-09-02 12:29:00 UTC--2021-09-02 13:29:00 UTC;60
639;106;2021-09-02 14:26:00 UTC--2021-09-02 15:06:00 UTC;40
640;106;2021-08-28 18:21:00 UTC--2021-08-28 19:21:00 UTC;60
642;106;2021-08-29 20:12:00 UTC--2021-08-29 21:02:00 UTC;50
645;122;2021-07-18 17:58:00 UTC--2021-07-18 18:34:00 UTC;36
646;122;2021-07-22 16:03:00 UTC--2021-07-22 17:05:00 UTC;62
647;122;2021-07-14 14:53:00 UTC--2021-07-14 15:49:00 UTC;56
648;122;2021-07-24 17:54:00 UTC--2021-07-24 18:49:00 UTC;55
649;91;2021-07-07 12:01:00 UTC--2021-07-07 12:41:00 UTC;40
651;91;2021-07-13 17:46:00 UTC--2021-07-13 18:39:00 UTC;53
652;91;2021-07-13 19:44:00 UTC--2021-07-13 20:37:00 UTC;53
653;91;2021-07-08 12:49:00 UTC--2021-07-08 14:15:00 UTC;86
654;91;2021-07-08 15:04:00 UTC--2021-07-08 16:12:00 UTC;68
655;113;2021-07-27 17:01:00 UTC--2021-07-27 17:57:00 UTC;56
658;113;2021-07-24 16:21:00 UTC--2021-07-24 17:08:00 UTC;47
659;113;2021-07-30 10:40:00 UTC--2021-07-30 11:18:00 UTC;38
660;113;2021-07-27 19:15:00 UTC--2021-07-27 20:01:00 UTC;46
661;96;2021-08-10 13:25:00 UTC--2021-08-10 14:31:00 UTC;66
663;96;2021-08-08 20:22:00 UTC--2021-08-08 21:17:00 UTC;55
664;96;2021-08-08 22:00:00 UTC--2021-08-08 22:47:00 UTC;47
665;96;2021-08-11 17:35:00 UTC--2021-08-11 18:09:00 UTC;34
667;156;2021-09-09 09:39:00 UTC--2021-09-09 10:22:00 UTC;43
668;156;2021-09-10 11:17:00 UTC--2021-09-10 12:10:00 UTC;53
669;156;2021-09-17 19:38:00 UTC--2021-09-17 20:22:00 UTC;44
672;156;2021-09-13 16:21:00 UTC--2021-09-13 17:21:00 UTC;60
673;184;2021-07-21 12:57:00 UTC--2021-07-21 14:10:00 UTC;73
674;184;2021-07-21 15:19:00 UTC--2021-07-21 15:54:00 UTC;35
675;184;2021-07-26 19:29:00 UTC--2021-07-26 20:31:00 UTC;62
678;184;2021-07-27 16:41:00 UTC--2021-07-27 17:48:00 UTC;67
680;137;2021-08-21 14:55:00 UTC--2021-08-21 16:02:00 UTC;67
681;137;2021-08-25 18:10:00 UTC--2021-08-25 18:52:00 UTC;42
682;137;2021-08-29 16:04:00 UTC--2021-08-29 17:04:00 UTC;60
686;147;2021-08-05 18:06:00 UTC--2021-08-05 19:08:00 UTC;62
689;147;2021-08-07 16:42:00 UTC--2021-08-07 17:29:00 UTC;47
690;147;2021-08-06 15:47:00 UTC--2021-08-06 16:35:00 UTC;48
691;172;2021-09-07 18:41:00 UTC--2021-09-07 19:12:00 UTC;31
692;172;2021-09-06 16:27:00 UTC--2021-09-06 17:08:00 UTC;41
693;172;2021-09-10 11:59:00 UTC--2021-09-10 12:41:00 UTC;42
694;172;2021-09-05 19:04:00 UTC--2021-09-05 20:01:00 UTC;57
696;172;2021-09-04 16:17:00 UTC--2021-09-04 16:54:00 UTC;37
697;179;2021-09-03 15:18:00 UTC--2021-09-03 16:30:00 UTC;72
698;179;2021-09-09 16:33:00 UTC--2021-09-09 17:39:00 UTC;66
700;179;2021-09-07 15:35:00 UTC--2021-09-07 16:17:00 UTC;42
702;179;2021-09-10 20:12:00 UTC--2021-09-10 20:55:00 UTC;43
703;11;2021-08-19 11:08:00 UTC--2021-08-19 12:09:00 UTC;61
705;11;2021-08-18 11:02:00 UTC--2021-08-18 12:11:00 UTC;69
706;11;2021-08-19 12:41:00 UTC--2021-08-19 13:45:00 UTC;64
707;11;2021-08-17 14:55:00 UTC--2021-08-17 15:57:00 UTC;62
708;11;2021-08-28 16:07:00 UTC--2021-08-28 17:10:00 UTC;63
709;14;2021-08-10 16:58:00 UTC--2021-08-10 17:37:00 UTC;39
712;14;2021-08-06 17:24:00 UTC--2021-08-06 18:15:00 UTC;51
713;14;2021-08-07 14:37:00 UTC--2021-08-07 15:28:00 UTC;51
714;14;2021-08-06 19:19:00 UTC--2021-08-06 20:19:00 UTC;60
715;59;2021-07-25 17:20:00 UTC--2021-07-25 18:25:00 UTC;65
716;59;2021-07-22 14:45:00 UTC--2021-07-22 15:59:00 UTC;74
718;59;2021-07-25 20:35:00 UTC--2021-07-25 21:11:00 UTC;36
719;59;2021-07-27 08:35:00 UTC--2021-07-27 09:45:00 UTC;70
720;59;2021-07-27 10:51:00 UTC--2021-07-27 11:27:00 UTC;36
721;170;2021-07-18 14:38:00 UTC--2021-07-18 15:17:00 UTC;39
722;170;2021-07-19 14:07:00 UTC--2021-07-19 14:48:00 UTC;41
724;170;2021-07-16 12:54:00 UTC--2021-07-16 13:44:00 UTC;50
725;170;2021-07-17 11:36:00 UTC--2021-07-17 12:25:00 UTC;49
726;170;2021-07-15 18:40:00 UTC--2021-07-15 19:19:00 UTC;39
728;106;2021-08-22 20:26:00 UTC--2021-08-22 21:06:00 UTC;40
730;106;2021-08-20 10:33:00 UTC--2021-08-20 11:14:00 UTC;41
731;106;2021-08-20 13:42:00 UTC--2021-08-20 14:25:00 UTC;43
733;183;2021-07-26 07:23:00 UTC--2021-07-26 08:16:00 UTC;53
734;183;2021-07-26 09:20:00 UTC--2021-07-26 10:13:00 UTC;53
735;183;2021-07-26 11:01:00 UTC--2021-07-26 11:46:00 UTC;45
736;183;2021-08-02 17:28:00 UTC--2021-08-02 18:37:00 UTC;69
737;183;2021-07-25 14:54:00 UTC--2021-07-25 15:43:00 UTC;49
739;207;2021-07-12 11:23:00 UTC--2021-07-12 12:20:00 UTC;57
740;207;2021-07-15 11:15:00 UTC--2021-07-15 12:07:00 UTC;52
742;207;2021-07-13 14:50:00 UTC--2021-07-13 15:42:00 UTC;52
743;207;2021-07-12 14:39:00 UTC--2021-07-12 15:24:00 UTC;45
744;207;2021-07-07 18:09:00 UTC--2021-07-07 18:59:00 UTC;50
745;191;2021-08-10 19:14:00 UTC--2021-08-10 20:21:00 UTC;67
746;191;2021-08-11 18:35:00 UTC--2021-08-11 19:49:00 UTC;74
749;191;2021-08-10 21:07:00 UTC--2021-08-10 22:05:00 UTC;58
750;191;2021-08-16 17:32:00 UTC--2021-08-16 18:16:00 UTC;44
751;56;2021-07-07 11:44:00 UTC--2021-07-07 12:45:00 UTC;61
753;56;2021-07-08 19:17:00 UTC--2021-07-08 20:19:00 UTC;62
754;56;2021-07-13 18:37:00 UTC--2021-07-13 19:37:00 UTC;60
755;56;2021-07-08 21:37:00 UTC--2021-07-08 22:26:00 UTC;49
756;56;2021-07-07 14:17:00 UTC--2021-07-07 15:32:00 UTC;75
757;151;2021-07-08 18:34:00 UTC--2021-07-08 19:23:00 UTC;49
758;151;2021-07-09 17:15:00 UTC--2021-07-09 18:19:00 UTC;64
761;151;2021-07-08 20:15:00 UTC--2021-07-08 21:19:00 UTC;64
762;151;2021-07-11 19:03:00 UTC--2021-07-11 20:00:00 UTC;57
763;115;2021-07-21 17:26:00 UTC--2021-07-21 18:34:00 UTC;68
766;115;2021-07-28 19:56:00 UTC--2021-07-28 20:34:00 UTC;38
767;115;2021-07-23 19:50:00 UTC--2021-07-23 20:28:00 UTC;38
769;120;2021-07-25 11:42:00 UTC--2021-07-25 12:38:00 UTC;56
770;120;2021-07-27 15:30:00 UTC--2021-07-27 16:25:00 UTC;55
772;120;2021-07-22 11:52:00 UTC--2021-07-22 12:44:00 UTC;52
774;120;2021-07-22 13:50:00 UTC--2021-07-22 14:57:00 UTC;67
775;1;2021-07-21 19:24:00 UTC--2021-07-21 20:13:00 UTC;49
779;1;2021-07-26 19:59:00 UTC--2021-07-26 21:00:00 UTC;61
780;1;2021-07-25 20:46:00 UTC--2021-07-25 21:30:00 UTC;44
781;211;2021-08-08 18:06:00 UTC--2021-08-08 18:58:00 UTC;52
783;211;2021-08-11 15:10:00 UTC--2021-08-11 16:02:00 UTC;52
784;211;2021-08-13 19:54:00 UTC--2021-08-13 20:48:00 UTC;54
785;211;2021-08-09 11:04:00 UTC--2021-08-09 11:58:00 UTC;54
786;211;2021-08-06 13:49:00 UTC--2021-08-06 14:33:00 UTC;44
787;87;2021-08-09 17:45:00 UTC--2021-08-09 18:22:00 UTC;37
789;87;2021-08-06 19:08:00 UTC--2021-08-06 19:45:00 UTC;37
790;87;2021-08-13 11:39:00 UTC--2021-08-13 12:41:00 UTC;62
791;87;2021-08-05 16:57:00 UTC--2021-08-05 17:53:00 UTC;56
794;70;2021-07-21 16:38:00 UTC--2021-07-21 17:25:00 UTC;47
795;70;2021-07-22 18:27:00 UTC--2021-07-22 19:30:00 UTC;63
797;70;2021-07-21 18:11:00 UTC--2021-07-21 18:48:00 UTC;37
798;70;2021-07-29 16:37:00 UTC--2021-07-29 17:14:00 UTC;37
799;91;2021-07-26 21:08:00 UTC--2021-07-26 21:55:00 UTC;47
800;91;2021-07-30 07:17:00 UTC--2021-07-30 08:10:00 UTC;53
802;91;2021-07-30 09:56:00 UTC--2021-07-30 10:49:00 UTC;53
803;91;2021-08-05 18:54:00 UTC--2021-08-05 19:51:00 UTC;57
805;14;2021-07-12 11:11:00 UTC--2021-07-12 12:01:00 UTC;50
806;14;2021-07-11 18:22:00 UTC--2021-07-11 19:22:00 UTC;60
807;14;2021-07-08 09:36:00 UTC--2021-07-08 11:04:00 UTC;88
808;14;2021-07-17 16:30:00 UTC--2021-07-17 17:21:00 UTC;51
810;14;2021-07-08 11:34:00 UTC--2021-07-08 12:10:00 UTC;36
813;91;2021-08-11 14:47:00 UTC--2021-08-11 15:54:00 UTC;67
814;91;2021-08-05 17:26:00 UTC--2021-08-05 18:19:00 UTC;53
816;91;2021-08-11 16:42:00 UTC--2021-08-11 17:25:00 UTC;43
818;104;2021-09-10 18:53:00 UTC--2021-09-10 19:34:00 UTC;41
820;104;2021-09-09 14:59:00 UTC--2021-09-09 16:06:00 UTC;67
821;104;2021-09-08 18:28:00 UTC--2021-09-08 19:33:00 UTC;65
822;104;2021-09-09 17:00:00 UTC--2021-09-09 18:00:00 UTC;60
823;159;2021-07-14 14:21:00 UTC--2021-07-14 15:18:00 UTC;57
824;159;2021-07-17 16:28:00 UTC--2021-07-17 17:28:00 UTC;60
825;159;2021-07-17 18:24:00 UTC--2021-07-17 19:32:00 UTC;68
826;159;2021-07-16 13:41:00 UTC--2021-07-16 14:23:00 UTC;42
827;159;2021-07-14 16:12:00 UTC--2021-07-14 16:45:00 UTC;33
830;136;2021-09-17 11:09:00 UTC--2021-09-17 12:02:00 UTC;53
831;136;2021-09-17 12:50:00 UTC--2021-09-17 13:52:00 UTC;62
832;136;2021-09-17 15:00:00 UTC--2021-09-17 15:54:00 UTC;54
834;136;2021-09-15 18:16:00 UTC--2021-09-15 19:31:00 UTC;75
835;16;2021-07-17 07:55:00 UTC--2021-07-17 08:44:00 UTC;49
836;16;2021-07-18 08:16:00 UTC--2021-07-18 09:16:00 UTC;60
837;16;2021-07-20 18:06:00 UTC--2021-07-20 18:53:00 UTC;47
838;16;2021-07-18 10:58:00 UTC--2021-07-18 12:01:00 UTC;63
839;16;2021-07-15 13:36:00 UTC--2021-07-15 14:39:00 UTC;63
840;16;2021-07-15 15:28:00 UTC--2021-07-15 16:09:00 UTC;41
841;128;2021-08-30 18:23:00 UTC--2021-08-30 19:13:00 UTC;50
843;128;2021-08-23 12:08:00 UTC--2021-08-23 12:50:00 UTC;42
844;128;2021-08-27 16:45:00 UTC--2021-08-27 17:54:00 UTC;69
845;128;2021-08-22 17:48:00 UTC--2021-08-22 18:38:00 UTC;50
847;158;2021-07-24 11:45:00 UTC--2021-07-24 12:50:00 UTC;65
848;158;2021-07-26 18:56:00 UTC--2021-07-26 19:54:00 UTC;58
850;158;2021-07-23 15:55:00 UTC--2021-07-23 16:52:00 UTC;57
851;158;2021-07-25 13:23:00 UTC--2021-07-25 14:29:00 UTC;66
852;158;2021-07-25 15:32:00 UTC--2021-07-25 16:27:00 UTC;55
853;3;2021-07-30 21:00:00 UTC--2021-07-30 21:56:00 UTC;56
854;3;2021-07-31 12:01:00 UTC--2021-07-31 12:50:00 UTC;49
855;3;2021-08-09 20:50:00 UTC--2021-08-09 21:41:00 UTC;51
856;3;2021-08-01 18:50:00 UTC--2021-08-01 19:34:00 UTC;44
857;3;2021-08-01 20:31:00 UTC--2021-08-01 21:22:00 UTC;51
858;3;2021-08-03 19:37:00 UTC--2021-08-03 20:31:00 UTC;54
859;23;2021-08-21 20:34:00 UTC--2021-08-21 21:32:00 UTC;58
860;23;2021-08-27 15:39:00 UTC--2021-08-27 16:36:00 UTC;57
862;23;2021-08-22 19:23:00 UTC--2021-08-22 20:23:00 UTC;60
863;23;2021-08-20 17:54:00 UTC--2021-08-20 19:03:00 UTC;69
865;132;2021-08-10 11:01:00 UTC--2021-08-10 12:10:00 UTC;69
866;132;2021-08-09 17:43:00 UTC--2021-08-09 18:56:00 UTC;73
867;132;2021-08-15 15:27:00 UTC--2021-08-15 16:06:00 UTC;39
868;132;2021-08-07 16:54:00 UTC--2021-08-07 17:40:00 UTC;46
871;203;2021-07-25 13:09:00 UTC--2021-07-25 14:00:00 UTC;51
872;203;2021-07-25 16:57:00 UTC--2021-07-25 17:36:00 UTC;39
873;203;2021-08-02 20:54:00 UTC--2021-08-02 21:58:00 UTC;64
875;203;2021-07-24 20:09:00 UTC--2021-07-24 21:14:00 UTC;65
876;203;2021-07-21 22:07:00 UTC--2021-07-21 23:05:00 UTC;58
877;38;2021-08-17 18:09:00 UTC--2021-08-17 19:07:00 UTC;58
878;38;2021-08-16 12:07:00 UTC--2021-08-16 13:33:00 UTC;86
879;38;2021-08-16 13:53:00 UTC--2021-08-16 14:28:00 UTC;35
880;38;2021-08-26 15:51:00 UTC--2021-08-26 17:05:00 UTC;74
881;38;2021-08-20 14:16:00 UTC--2021-08-20 14:53:00 UTC;37
883;102;2021-08-29 14:11:00 UTC--2021-08-29 15:11:00 UTC;60
884;102;2021-08-27 18:17:00 UTC--2021-08-27 18:59:00 UTC;42
885;102;2021-08-31 16:04:00 UTC--2021-08-31 17:03:00 UTC;59
886;102;2021-08-27 20:21:00 UTC--2021-08-27 21:12:00 UTC;51
888;102;2021-09-02 09:08:00 UTC--2021-09-02 09:49:00 UTC;41
889;153;2021-08-20 13:17:00 UTC--2021-08-20 14:11:00 UTC;54
891;153;2021-08-22 17:21:00 UTC--2021-08-22 18:11:00 UTC;50
892;153;2021-08-19 15:55:00 UTC--2021-08-19 16:47:00 UTC;52
894;153;2021-08-18 12:12:00 UTC--2021-08-18 13:10:00 UTC;58
895;101;2021-07-17 14:34:00 UTC--2021-07-17 15:10:00 UTC;36
898;101;2021-07-17 17:06:00 UTC--2021-07-17 17:50:00 UTC;44
900;101;2021-07-16 13:47:00 UTC--2021-07-16 14:27:00 UTC;40
902;15;2021-08-12 19:43:00 UTC--2021-08-12 21:05:00 UTC;82
903;15;2021-08-05 17:47:00 UTC--2021-08-05 18:59:00 UTC;72
904;15;2021-08-08 19:28:00 UTC--2021-08-08 20:07:00 UTC;39
905;15;2021-08-10 20:45:00 UTC--2021-08-10 21:45:00 UTC;60
906;15;2021-08-12 21:50:00 UTC--2021-08-12 22:54:00 UTC;64
908;54;2021-07-31 10:07:00 UTC--2021-07-31 11:15:00 UTC;68
909;54;2021-07-31 12:18:00 UTC--2021-07-31 13:30:00 UTC;72
910;54;2021-07-21 13:40:00 UTC--2021-07-21 14:10:00 UTC;30
911;54;2021-07-25 10:46:00 UTC--2021-07-25 11:20:00 UTC;34
912;54;2021-08-02 09:19:00 UTC--2021-08-02 10:11:00 UTC;52
913;14;2021-07-18 20:44:00 UTC--2021-07-18 22:08:00 UTC;84
914;14;2021-07-10 16:52:00 UTC--2021-07-10 18:17:00 UTC;85
915;14;2021-07-13 21:43:00 UTC--2021-07-13 22:36:00 UTC;53
917;14;2021-07-10 19:19:00 UTC--2021-07-10 20:34:00 UTC;75
918;14;2021-07-07 20:40:00 UTC--2021-07-07 21:45:00 UTC;65
919;3;2021-07-24 15:26:00 UTC--2021-07-24 16:41:00 UTC;75
920;3;2021-07-13 17:49:00 UTC--2021-07-13 18:46:00 UTC;57
921;3;2021-07-15 15:46:00 UTC--2021-07-15 16:36:00 UTC;50
923;3;2021-07-25 16:36:00 UTC--2021-07-25 17:26:00 UTC;50
924;3;2021-07-21 20:14:00 UTC--2021-07-21 21:13:00 UTC;59
925;207;2021-08-02 16:23:00 UTC--2021-08-02 17:08:00 UTC;45
927;207;2021-08-06 14:14:00 UTC--2021-08-06 14:59:00 UTC;45
928;207;2021-07-31 12:42:00 UTC--2021-07-31 13:27:00 UTC;45
931;111;2021-08-20 09:20:00 UTC--2021-08-20 10:17:00 UTC;57
932;111;2021-08-19 17:03:00 UTC--2021-08-19 18:10:00 UTC;67
933;111;2021-08-14 17:02:00 UTC--2021-08-14 17:41:00 UTC;39
936;111;2021-08-19 19:21:00 UTC--2021-08-19 20:03:00 UTC;42
938;30;2021-07-15 15:35:00 UTC--2021-07-15 16:23:00 UTC;48
939;30;2021-07-10 17:08:00 UTC--2021-07-10 17:38:00 UTC;30
940;30;2021-07-08 12:37:00 UTC--2021-07-08 13:07:00 UTC;30
941;30;2021-07-15 17:45:00 UTC--2021-07-15 18:27:00 UTC;42
942;30;2021-07-10 19:05:00 UTC--2021-07-10 20:02:00 UTC;57
944;144;2021-08-12 18:26:00 UTC--2021-08-12 19:24:00 UTC;58
945;144;2021-08-08 12:54:00 UTC--2021-08-08 13:47:00 UTC;53
946;144;2021-08-07 14:31:00 UTC--2021-08-07 15:14:00 UTC;43
948;144;2021-08-08 16:02:00 UTC--2021-08-08 16:37:00 UTC;35
949;216;2021-07-17 15:07:00 UTC--2021-07-17 16:03:00 UTC;56
950;216;2021-07-17 17:01:00 UTC--2021-07-17 18:01:00 UTC;60
952;216;2021-07-17 18:58:00 UTC--2021-07-17 20:03:00 UTC;65
953;216;2021-07-15 10:07:00 UTC--2021-07-15 11:00:00 UTC;53
954;216;2021-07-16 11:24:00 UTC--2021-07-16 12:03:00 UTC;39
955;117;2021-08-27 14:57:00 UTC--2021-08-27 15:31:00 UTC;34
956;117;2021-08-23 14:33:00 UTC--2021-08-23 15:17:00 UTC;44
957;117;2021-08-27 17:55:00 UTC--2021-08-27 18:37:00 UTC;42
959;117;2021-08-26 11:11:00 UTC--2021-08-26 11:59:00 UTC;48
960;117;2021-08-25 12:00:00 UTC--2021-08-25 12:57:00 UTC;57
961;219;2021-08-21 15:18:00 UTC--2021-08-21 15:55:00 UTC;37
963;219;2021-08-17 17:12:00 UTC--2021-08-17 17:46:00 UTC;34
964;219;2021-08-20 20:05:00 UTC--2021-08-20 21:03:00 UTC;58
965;219;2021-08-23 18:56:00 UTC--2021-08-23 19:52:00 UTC;56
966;219;2021-08-22 10:13:00 UTC--2021-08-22 11:19:00 UTC;66
968;86;2021-08-15 16:06:00 UTC--2021-08-15 17:00:00 UTC;54
969;86;2021-08-04 18:54:00 UTC--2021-08-04 19:58:00 UTC;64
971;86;2021-08-06 17:54:00 UTC--2021-08-06 18:52:00 UTC;58
972;86;2021-08-15 17:43:00 UTC--2021-08-15 18:38:00 UTC;55
973;33;2021-08-07 17:41:00 UTC--2021-08-07 18:17:00 UTC;36
