"idno";"intnum";"int_period";"duration"
117;84;2021-08-10 17:52:00 UTC--2021-08-10 18:54:00 UTC;62
118;84;2021-08-14 19:23:00 UTC--2021-08-14 20:06:00 UTC;43
119;84;2021-08-04 14:21:00 UTC--2021-08-04 15:24:00 UTC;63
120;84;2021-08-08 19:58:00 UTC--2021-08-08 21:01:00 UTC;63
121;185;2021-07-17 17:41:00 UTC--2021-07-17 18:20:00 UTC;39
122;185;2021-07-20 10:19:00 UTC--2021-07-20 11:46:00 UTC;87
124;185;2021-07-20 13:56:00 UTC--2021-07-20 14:30:00 UTC;34
125;185;2021-07-18 10:11:00 UTC--2021-07-18 11:11:00 UTC;60
126;185;2021-07-15 16:21:00 UTC--2021-07-15 17:11:00 UTC;50
127;86;2021-07-30 16:03:00 UTC--2021-07-30 16:57:00 UTC;54
131;86;2021-07-29 18:47:00 UTC--2021-07-29 19:33:00 UTC;46
132;86;2021-07-31 19:11:00 UTC--2021-07-31 20:23:00 UTC;72
135;14;2021-08-09 11:09:00 UTC--2021-08-09 12:06:00 UTC;57
136;14;2021-08-08 20:55:00 UTC--2021-08-08 21:38:00 UTC;43
137;14;2021-08-09 12:36:00 UTC--2021-08-09 13:17:00 UTC;41
138;14;2021-08-09 15:07:00 UTC--2021-08-09 16:26:00 UTC;79
139;12;2021-07-10 11:52:00 UTC--2021-07-10 12:57:00 UTC;65
141;12;2021-07-12 18:12:00 UTC--2021-07-12 19:12:00 UTC;60
142;12;2021-07-12 20:18:00 UTC--2021-07-12 21:29:00 UTC;71
143;12;2021-07-14 18:01:00 UTC--2021-07-14 18:58:00 UTC;57
145;38;2021-07-21 10:42:00 UTC--2021-07-21 11:35:00 UTC;53
146;38;2021-07-28 12:19:00 UTC--2021-07-28 13:37:00 UTC;78
147;38;2021-07-27 19:35:00 UTC--2021-07-27 20:24:00 UTC;49
148;38;2021-07-31 10:34:00 UTC--2021-07-31 11:34:00 UTC;60
149;38;2021-07-21 13:02:00 UTC--2021-07-21 13:57:00 UTC;55
150;38;2021-07-30 20:38:00 UTC--2021-07-30 21:46:00 UTC;68
151;187;2021-08-15 16:52:00 UTC--2021-08-15 17:40:00 UTC;48
152;187;2021-08-27 18:41:00 UTC--2021-08-27 19:50:00 UTC;69
153;187;2021-08-18 17:04:00 UTC--2021-08-18 18:01:00 UTC;57
154;187;2021-08-17 19:33:00 UTC--2021-08-17 20:33:00 UTC;60
156;187;2021-08-15 18:49:00 UTC--2021-08-15 19:18:00 UTC;29
157;160;2021-08-16 16:30:00 UTC--2021-08-16 17:07:00 UTC;37
159;160;2021-08-18 17:40:00 UTC--2021-08-18 18:43:00 UTC;63
161;160;2021-08-22 11:33:00 UTC--2021-08-22 12:24:00 UTC;51
162;160;2021-08-15 16:26:00 UTC--2021-08-15 17:28:00 UTC;62
163;71;2021-08-30 20:16:00 UTC--2021-08-30 21:15:00 UTC;59
166;71;2021-08-18 09:47:00 UTC--2021-08-18 10:22:00 UTC;35
168;71;2021-08-14 12:01:00 UTC--2021-08-14 12:50:00 UTC;49
170;165;2021-07-28 18:00:00 UTC--2021-07-28 19:25:00 UTC;85
171;165;2021-07-24 10:09:00 UTC--2021-07-24 11:06:00 UTC;57
172;165;2021-07-24 12:38:00 UTC--2021-07-24 13:44:00 UTC;66
175;127;2021-07-13 16:44:00 UTC--2021-07-13 17:23:00 UTC;39
176;127;2021-07-25 17:07:00 UTC--2021-07-25 18:13:00 UTC;66
177;127;2021-07-18 11:17:00 UTC--2021-07-18 12:21:00 UTC;64
178;127;2021-07-19 15:43:00 UTC--2021-07-19 16:27:00 UTC;44
180;127;2021-07-16 13:53:00 UTC--2021-07-16 15:10:00 UTC;77
182;36;2021-08-12 20:47:00 UTC--2021-08-12 21:52:00 UTC;65
183;36;2021-08-04 17:49:00 UTC--2021-08-04 18:49:00 UTC;60
184;36;2021-08-14 12:03:00 UTC--2021-08-14 12:35:00 UTC;32
186;36;2021-08-07 16:13:00 UTC--2021-08-07 16:55:00 UTC;42
187;196;2021-09-02 14:16:00 UTC--2021-09-02 15:03:00 UTC;47
189;196;2021-09-07 16:01:00 UTC--2021-09-07 17:05:00 UTC;64
190;196;2021-08-30 16:49:00 UTC--2021-08-30 17:36:00 UTC;47
192;196;2021-09-04 21:42:00 UTC--2021-09-04 22:21:00 UTC;39
193;173;2021-07-19 10:09:00 UTC--2021-07-19 11:33:00 UTC;84
194;173;2021-07-19 12:40:00 UTC--2021-07-19 13:40:00 UTC;60
195;173;2021-07-18 11:40:00 UTC--2021-07-18 12:55:00 UTC;75
197;173;2021-07-20 16:00:00 UTC--2021-07-20 16:57:00 UTC;57
199;168;2021-07-13 14:04:00 UTC--2021-07-13 14:56:00 UTC;52
200;168;2021-07-13 15:55:00 UTC--2021-07-13 16:53:00 UTC;58
201;168;2021-07-19 16:54:00 UTC--2021-07-19 17:48:00 UTC;54
202;168;2021-07-16 18:24:00 UTC--2021-07-16 18:58:00 UTC;34
204;168;2021-07-13 17:57:00 UTC--2021-07-13 18:50:00 UTC;53
205;49;2021-08-20 10:04:00 UTC--2021-08-20 10:51:00 UTC;47
206;49;2021-08-17 10:25:00 UTC--2021-08-17 11:20:00 UTC;55
207;49;2021-08-20 11:42:00 UTC--2021-08-20 12:34:00 UTC;52
210;49;2021-08-17 12:28:00 UTC--2021-08-17 13:25:00 UTC;57
211;66;2021-07-31 16:54:00 UTC--2021-07-31 18:08:00 UTC;74
212;66;2021-07-29 15:58:00 UTC--2021-07-29 17:17:00 UTC;79
215;66;2021-07-29 17:32:00 UTC--2021-07-29 18:19:00 UTC;47
217;204;2021-08-20 11:24:00 UTC--2021-08-20 12:03:00 UTC;39
220;204;2021-08-21 19:38:00 UTC--2021-08-21 20:25:00 UTC;47
221;204;2021-08-21 21:52:00 UTC--2021-08-21 22:25:00 UTC;33
222;204;2021-08-18 18:09:00 UTC--2021-08-18 19:16:00 UTC;67
223;167;2021-08-06 16:02:00 UTC--2021-08-06 16:51:00 UTC;49
224;167;2021-08-07 16:17:00 UTC--2021-08-07 17:14:00 UTC;57
226;167;2021-08-10 11:08:00 UTC--2021-08-10 11:46:00 UTC;38
227;167;2021-08-09 12:30:00 UTC--2021-08-09 13:15:00 UTC;45
229;25;2021-07-23 17:08:00 UTC--2021-07-23 18:04:00 UTC;56
230;25;2021-07-24 18:53:00 UTC--2021-07-24 19:37:00 UTC;44
232;25;2021-07-26 16:54:00 UTC--2021-07-26 17:41:00 UTC;47
234;25;2021-07-22 17:26:00 UTC--2021-07-22 18:17:00 UTC;51
235;118;2021-07-11 14:48:00 UTC--2021-07-11 15:27:00 UTC;39
237;118;2021-07-12 14:46:00 UTC--2021-07-12 15:44:00 UTC;58
238;118;2021-07-13 16:28:00 UTC--2021-07-13 17:13:00 UTC;45
239;118;2021-07-09 18:51:00 UTC--2021-07-09 19:59:00 UTC;68
241;32;2021-08-04 15:18:00 UTC--2021-08-04 16:01:00 UTC;43
242;32;2021-08-13 17:11:00 UTC--2021-08-13 17:50:00 UTC;39
244;32;2021-07-29 17:28:00 UTC--2021-07-29 18:24:00 UTC;56
245;32;2021-07-30 16:33:00 UTC--2021-07-30 17:26:00 UTC;53
246;32;2021-08-01 18:22:00 UTC--2021-08-01 19:29:00 UTC;67
247;80;2021-07-26 11:31:00 UTC--2021-07-26 12:30:00 UTC;59
249;80;2021-07-25 15:40:00 UTC--2021-07-25 16:47:00 UTC;67
251;80;2021-07-27 19:56:00 UTC--2021-07-27 20:36:00 UTC;40
252;80;2021-07-30 15:58:00 UTC--2021-07-30 16:46:00 UTC;48
253;166;2021-07-28 15:26:00 UTC--2021-07-28 16:22:00 UTC;56
254;166;2021-07-22 16:23:00 UTC--2021-07-22 17:23:00 UTC;60
256;166;2021-07-21 15:20:00 UTC--2021-07-21 15:59:00 UTC;39
257;166;2021-07-30 13:10:00 UTC--2021-07-30 14:09:00 UTC;59
258;166;2021-07-26 15:47:00 UTC--2021-07-26 16:36:00 UTC;49
259;83;2021-09-02 15:35:00 UTC--2021-09-02 16:06:00 UTC;31
260;83;2021-08-31 10:51:00 UTC--2021-08-31 11:47:00 UTC;56
261;83;2021-09-05 15:44:00 UTC--2021-09-05 17:19:00 UTC;95
262;83;2021-09-01 13:13:00 UTC--2021-09-01 14:29:00 UTC;76
264;83;2021-08-31 14:36:00 UTC--2021-08-31 15:08:00 UTC;32
266;12;2021-07-31 16:42:00 UTC--2021-07-31 17:49:00 UTC;67
267;12;2021-07-23 15:39:00 UTC--2021-07-23 16:31:00 UTC;52
269;12;2021-07-25 14:44:00 UTC--2021-07-25 15:27:00 UTC;43
270;12;2021-07-25 17:17:00 UTC--2021-07-25 18:10:00 UTC;53
273;167;2021-07-16 14:36:00 UTC--2021-07-16 15:38:00 UTC;62
274;167;2021-07-21 17:56:00 UTC--2021-07-21 18:41:00 UTC;45
275;167;2021-07-14 14:29:00 UTC--2021-07-14 15:20:00 UTC;51
276;167;2021-07-18 15:42:00 UTC--2021-07-18 16:45:00 UTC;63
277;195;2021-07-15 19:25:00 UTC--2021-07-15 20:15:00 UTC;50
279;195;2021-07-08 19:52:00 UTC--2021-07-08 20:47:00 UTC;55
281;195;2021-07-10 17:20:00 UTC--2021-07-10 17:51:00 UTC;31
282;195;2021-07-09 19:31:00 UTC--2021-07-09 20:29:00 UTC;58
283;166;2021-08-04 11:52:00 UTC--2021-08-04 12:50:00 UTC;58
284;166;2021-08-03 15:55:00 UTC--2021-08-03 16:51:00 UTC;56
285;166;2021-07-28 11:12:00 UTC--2021-07-28 12:02:00 UTC;50
286;166;2021-08-03 17:38:00 UTC--2021-08-03 18:45:00 UTC;67
287;166;2021-08-01 19:05:00 UTC--2021-08-01 19:57:00 UTC;52
289;159;2021-08-05 09:21:00 UTC--2021-08-05 10:16:00 UTC;55
290;159;2021-08-11 11:31:00 UTC--2021-08-11 12:08:00 UTC;37
291;159;2021-08-11 13:35:00 UTC--2021-08-11 14:36:00 UTC;61
293;159;2021-08-20 11:20:00 UTC--2021-08-20 12:16:00 UTC;56
294;159;2021-08-06 16:27:00 UTC--2021-08-06 17:21:00 UTC;54
295;122;2021-08-04 16:34:00 UTC--2021-08-04 17:36:00 UTC;62
296;122;2021-08-07 17:00:00 UTC--2021-08-07 17:57:00 UTC;57
297;122;2021-08-06 15:23:00 UTC--2021-08-06 16:31:00 UTC;68
298;122;2021-08-13 11:59:00 UTC--2021-08-13 12:41:00 UTC;42
299;122;2021-08-12 18:10:00 UTC--2021-08-12 18:58:00 UTC;48
301;2;2021-08-13 13:52:00 UTC--2021-08-13 14:30:00 UTC;38
302;2;2021-08-12 17:06:00 UTC--2021-08-12 17:57:00 UTC;51
307;125;2021-08-06 15:45:00 UTC--2021-08-06 16:38:00 UTC;53
308;125;2021-08-04 18:17:00 UTC--2021-08-04 19:10:00 UTC;53
309;125;2021-08-10 16:48:00 UTC--2021-08-10 17:35:00 UTC;47
310;125;2021-08-06 17:48:00 UTC--2021-08-06 18:54:00 UTC;66
311;125;2021-08-07 09:19:00 UTC--2021-08-07 09:55:00 UTC;36
312;125;2021-08-06 21:21:00 UTC--2021-08-06 22:27:00 UTC;66
313;43;2021-09-04 20:09:00 UTC--2021-09-04 21:03:00 UTC;54
314;43;2021-09-07 12:51:00 UTC--2021-09-07 13:39:00 UTC;48
315;43;2021-09-15 11:56:00 UTC--2021-09-15 12:51:00 UTC;55
316;43;2021-09-11 14:22:00 UTC--2021-09-11 15:09:00 UTC;47
317;43;2021-09-07 17:06:00 UTC--2021-09-07 18:06:00 UTC;60
320;168;2021-08-16 12:05:00 UTC--2021-08-16 13:25:00 UTC;80
321;168;2021-08-26 15:12:00 UTC--2021-08-26 16:26:00 UTC;74
322;168;2021-08-20 19:18:00 UTC--2021-08-20 20:11:00 UTC;53
323;168;2021-08-22 17:52:00 UTC--2021-08-22 18:52:00 UTC;60
324;168;2021-08-16 14:39:00 UTC--2021-08-16 15:48:00 UTC;69
326;77;2021-08-09 14:29:00 UTC--2021-08-09 15:26:00 UTC;57
329;77;2021-08-09 16:23:00 UTC--2021-08-09 17:39:00 UTC;76
330;77;2021-08-04 20:33:00 UTC--2021-08-04 21:50:00 UTC;77
331;154;2021-07-23 16:41:00 UTC--2021-07-23 17:42:00 UTC;61
332;154;2021-07-23 19:19:00 UTC--2021-07-23 20:08:00 UTC;49
333;154;2021-07-24 20:00:00 UTC--2021-07-24 20:48:00 UTC;48
335;154;2021-07-27 11:00:00 UTC--2021-07-27 11:32:00 UTC;32
336;154;2021-07-27 13:26:00 UTC--2021-07-27 13:59:00 UTC;33
338;75;2021-08-12 15:32:00 UTC--2021-08-12 16:41:00 UTC;69
339;75;2021-08-20 18:26:00 UTC--2021-08-20 19:13:00 UTC;47
340;75;2021-08-16 11:57:00 UTC--2021-08-16 12:32:00 UTC;35
341;75;2021-08-16 13:34:00 UTC--2021-08-16 14:39:00 UTC;65
342;75;2021-08-15 15:43:00 UTC--2021-08-15 16:45:00 UTC;62
343;91;2021-08-05 20:37:00 UTC--2021-08-05 21:23:00 UTC;46
344;91;2021-08-11 18:40:00 UTC--2021-08-11 19:36:00 UTC;56
345;91;2021-08-10 16:09:00 UTC--2021-08-10 17:13:00 UTC;64
346;91;2021-08-06 18:37:00 UTC--2021-08-06 19:09:00 UTC;32
348;91;2021-08-10 20:39:00 UTC--2021-08-10 21:26:00 UTC;47
349;162;2021-08-18 20:53:00 UTC--2021-08-18 21:59:00 UTC;66
350;162;2021-08-20 19:00:00 UTC--2021-08-20 20:22:00 UTC;82
351;162;2021-08-23 19:51:00 UTC--2021-08-23 21:07:00 UTC;76
354;162;2021-08-15 12:49:00 UTC--2021-08-15 13:38:00 UTC;49
355;114;2021-08-08 12:09:00 UTC--2021-08-08 12:56:00 UTC;47
356;114;2021-08-08 14:36:00 UTC--2021-08-08 15:23:00 UTC;47
357;114;2021-08-07 11:32:00 UTC--2021-08-07 12:19:00 UTC;47
358;114;2021-08-09 12:02:00 UTC--2021-08-09 12:38:00 UTC;36
359;114;2021-08-10 12:02:00 UTC--2021-08-10 13:22:00 UTC;80
360;114;2021-08-12 18:53:00 UTC--2021-08-12 19:49:00 UTC;56
361;45;2021-09-16 07:05:00 UTC--2021-09-16 07:42:00 UTC;37
362;45;2021-09-14 13:25:00 UTC--2021-09-14 14:07:00 UTC;42
363;45;2021-09-16 09:09:00 UTC--2021-09-16 10:15:00 UTC;66
366;45;2021-09-24 08:35:00 UTC--2021-09-24 09:14:00 UTC;39
367;163;2021-07-08 16:39:00 UTC--2021-07-08 18:06:00 UTC;87
368;163;2021-07-10 13:08:00 UTC--2021-07-10 14:31:00 UTC;83
369;163;2021-07-10 15:18:00 UTC--2021-07-10 16:22:00 UTC;64
370;163;2021-07-10 17:17:00 UTC--2021-07-10 18:03:00 UTC;46
372;163;2021-07-08 18:03:00 UTC--2021-07-08 18:59:00 UTC;56
373;67;2021-09-13 10:45:00 UTC--2021-09-13 11:34:00 UTC;49
374;67;2021-09-17 13:20:00 UTC--2021-09-17 14:07:00 UTC;47
375;67;2021-09-15 14:39:00 UTC--2021-09-15 16:13:00 UTC;94
376;67;2021-09-17 15:28:00 UTC--2021-09-17 16:53:00 UTC;85
379;94;2021-08-19 10:41:00 UTC--2021-08-19 11:42:00 UTC;61
380;94;2021-08-16 17:26:00 UTC--2021-08-16 18:26:00 UTC;60
381;94;2021-08-21 17:31:00 UTC--2021-08-21 18:26:00 UTC;55
383;94;2021-08-16 20:03:00 UTC--2021-08-16 21:01:00 UTC;58
385;41;2021-07-24 17:06:00 UTC--2021-07-24 18:00:00 UTC;54
386;41;2021-07-27 12:27:00 UTC--2021-07-27 13:41:00 UTC;74
388;41;2021-07-23 16:52:00 UTC--2021-07-23 17:50:00 UTC;58
390;41;2021-07-25 13:33:00 UTC--2021-07-25 14:27:00 UTC;54
391;155;2021-08-19 13:04:00 UTC--2021-08-19 14:18:00 UTC;74
393;155;2021-08-08 15:28:00 UTC--2021-08-08 16:23:00 UTC;55
394;155;2021-08-10 10:39:00 UTC--2021-08-10 11:32:00 UTC;53
395;155;2021-08-10 12:54:00 UTC--2021-08-10 13:31:00 UTC;37
399;63;2021-07-23 12:01:00 UTC--2021-07-23 13:30:00 UTC;89
400;63;2021-07-13 18:49:00 UTC--2021-07-13 20:06:00 UTC;77
401;63;2021-07-20 17:05:00 UTC--2021-07-20 18:03:00 UTC;58
402;63;2021-07-14 15:48:00 UTC--2021-07-14 16:41:00 UTC;53
403;26;2021-07-17 10:47:00 UTC--2021-07-17 12:06:00 UTC;79
404;26;2021-07-20 18:39:00 UTC--2021-07-20 19:24:00 UTC;45
406;26;2021-07-19 15:05:00 UTC--2021-07-19 15:40:00 UTC;35
410;194;2021-07-27 17:57:00 UTC--2021-07-27 19:00:00 UTC;63
411;194;2021-07-27 19:26:00 UTC--2021-07-27 20:41:00 UTC;75
412;194;2021-07-24 20:00:00 UTC--2021-07-24 20:49:00 UTC;49
413;194;2021-07-26 17:36:00 UTC--2021-07-26 18:30:00 UTC;54
415;201;2021-08-19 17:37:00 UTC--2021-08-19 18:30:00 UTC;53
416;201;2021-08-06 16:32:00 UTC--2021-08-06 17:29:00 UTC;57
418;201;2021-08-06 18:09:00 UTC--2021-08-06 19:27:00 UTC;78
419;201;2021-08-10 17:46:00 UTC--2021-08-10 18:38:00 UTC;52
420;201;2021-08-10 19:45:00 UTC--2021-08-10 20:50:00 UTC;65
421;76;2021-07-11 14:13:00 UTC--2021-07-11 15:13:00 UTC;60
424;76;2021-07-11 16:28:00 UTC--2021-07-11 17:12:00 UTC;44
425;76;2021-07-23 09:20:00 UTC--2021-07-23 10:07:00 UTC;47
426;76;2021-07-13 17:26:00 UTC--2021-07-13 18:11:00 UTC;45
429;201;2021-08-05 19:12:00 UTC--2021-08-05 20:20:00 UTC;68
430;201;2021-08-12 07:25:00 UTC--2021-08-12 08:21:00 UTC;56
431;201;2021-08-09 19:10:00 UTC--2021-08-09 20:05:00 UTC;55
432;201;2021-08-14 14:20:00 UTC--2021-08-14 15:07:00 UTC;47
433;110;2021-07-12 13:29:00 UTC--2021-07-12 14:15:00 UTC;46
435;110;2021-07-10 17:42:00 UTC--2021-07-10 18:30:00 UTC;48
436;110;2021-07-08 14:39:00 UTC--2021-07-08 15:26:00 UTC;47
437;110;2021-07-15 19:39:00 UTC--2021-07-15 20:44:00 UTC;65
438;110;2021-07-17 21:06:00 UTC--2021-07-17 22:11:00 UTC;65
439;166;2021-07-15 14:18:00 UTC--2021-07-15 15:07:00 UTC;49
441;166;2021-07-10 21:25:00 UTC--2021-07-10 22:22:00 UTC;57
442;166;2021-07-07 07:34:00 UTC--2021-07-07 08:46:00 UTC;72
446;210;2021-07-11 19:07:00 UTC--2021-07-11 19:41:00 UTC;34
447;210;2021-07-11 21:33:00 UTC--2021-07-11 22:21:00 UTC;48
448;210;2021-07-13 18:57:00 UTC--2021-07-13 19:37:00 UTC;40
449;210;2021-07-13 21:40:00 UTC--2021-07-13 22:36:00 UTC;56
450;210;2021-07-07 18:54:00 UTC--2021-07-07 20:28:00 UTC;94
451;75;2021-07-13 11:25:00 UTC--2021-07-13 12:33:00 UTC;68
452;75;2021-07-13 12:53:00 UTC--2021-07-13 13:44:00 UTC;51
453;75;2021-07-11 16:32:00 UTC--2021-07-11 17:23:00 UTC;51
454;75;2021-07-10 14:57:00 UTC--2021-07-10 15:46:00 UTC;49
