"intnum";"m_intscore";"sd_intscore"
131;0.314536898173595;1.16022192789578
139;-0.242966209727198;1.10328058418326
141;-0.451424241424941;1.02612869028563
170;-0.121660575120347;0.653552541903504
190;-0.234942188400788;0.817172511448267
237;0.634332832297656;1.2178403627407
248;0.250498632114881;1.27669493517819
264;0.18820198275552;1.1977875891702
287;0.0313577902192188;0.74729737968782
348;-0.0841790954210451;0.876215283246193
358;-0.0707988831426707;0.734695791831396
408;0.144412429192749;0.893853129814037
422;0.126390469793166;0.97837175709326
442;-0.302773278948831;0.909956968742523
492;0.283847050290517;1.30489504323391
501;-0.0629823484030769;0.931556401606044
540;-0.369480156862572;0.554233428548353
610;0.392490537727981;0.777466403935809
616;0.560286438136223;1.16940307985113
621;0.0621384130296289;0.921878056040213
622;0.033851397941834;1.09244999982212
652;0.135714298167925;0.830847922236645
681;-0.20527393616239;1.24287275860943
693;-0.0625313083561439;1.00989440373718
713;-0.33806927344288;1.12008222859719
725;0.01020289887845;1.08777580550005
731;0.353545908114125;0.997856629326419
756;-0.205801839797511;0.952015584269008
769;-0.396067569778742;0.899667609418963
774;0.375590918935817;0.79599835647814
796;0.0276214049132158;1.24142340973293
807;-0.0450574892721423;0.769292929734932
819;-0.0869801183813444;0.958801402121077
825;0.45060437179643;1.21271998462883
839;-0.439883400889634;0.639611447669655
845;-0.145148724537393;0.720127876060828
856;-0.15580770815274;0.703124335578447
881;-0.135240391869983;1.09894748919567
890;-0.34434717901091;0.783916785402101
960;0.0917313469502924;1.12364095458477
964;-0.422963614259224;0.857907912847517
1008;-0.650195924211654;0.918164815687381
1011;-0.196109167276063;0.75623894635452
1021;-0.238653065898378;0.684991191995322
1047;0.116451644053554;0.683453455649491
1048;0.142652913016922;1.14147713586239
1093;0.13737365902477;1.0585819505531
1103;0.747837197205352;1.3401693656264
1105;0.560836032900765;1.23035639654931
1108;0.228142190154229;1.00339634164579
1125;0.357887829368992;0.976221693491299
1145;-0.361684477239185;0.922145710201608
1149;-0.110572692334033;0.574415642088706
