"intnum";"idno";"cntry";"interval";"overlap"
5;2827;"CZ";2021-08-12 15:39:00 UTC--2021-08-12 17:20:00 UTC;FALSE
5;2831;"CZ";2021-08-14 14:07:00 UTC--2021-08-14 15:06:00 UTC;FALSE
5;2829;"CZ";2021-08-18 10:59:00 UTC--2021-08-18 12:10:00 UTC;FALSE
6;1485;"CZ";2021-07-09 17:50:00 UTC--2021-07-09 18:56:00 UTC;FALSE
6;1486;"CZ";2021-07-09 19:25:00 UTC--2021-07-09 20:23:00 UTC;FALSE
6;1488;"CZ";2021-07-11 17:23:00 UTC--2021-07-11 18:17:00 UTC;FALSE
6;1484;"CZ";2021-07-12 17:53:00 UTC--2021-07-12 18:27:00 UTC;FALSE
6;1483;"CZ";2021-07-13 18:58:00 UTC--2021-07-13 19:51:00 UTC;FALSE
6;1409;"CZ";2021-07-28 16:28:00 UTC--2021-07-28 17:46:00 UTC;FALSE
6;581;"CZ";2021-07-29 19:40:00 UTC--2021-07-29 20:34:00 UTC;FALSE
6;580;"CZ";2021-07-31 19:22:00 UTC--2021-07-31 20:30:00 UTC;FALSE
6;1405;"CZ";2021-07-31 20:56:00 UTC--2021-07-31 21:46:00 UTC;FALSE
6;578;"CZ";2021-08-01 12:29:00 UTC--2021-08-01 13:35:00 UTC;FALSE
6;577;"CZ";2021-08-02 12:46:00 UTC--2021-08-02 14:02:00 UTC;FALSE
6;1406;"CZ";2021-08-02 15:44:00 UTC--2021-08-02 16:20:00 UTC;FALSE
6;1407;"CZ";2021-08-02 18:29:00 UTC--2021-08-02 19:34:00 UTC;FALSE
6;1408;"CZ";2021-08-02 20:07:00 UTC--2021-08-02 21:31:00 UTC;FALSE
6;579;"CZ";2021-08-07 15:18:00 UTC--2021-08-07 16:11:00 UTC;FALSE
7;1117;"CZ";2021-07-08 15:28:00 UTC--2021-07-08 16:26:00 UTC;FALSE
7;1118;"CZ";2021-07-08 17:14:00 UTC--2021-07-08 17:57:00 UTC;FALSE
7;1121;"CZ";2021-07-08 20:26:00 UTC--2021-07-08 21:19:00 UTC;FALSE
7;1120;"CZ";2021-07-12 17:55:00 UTC--2021-07-12 18:59:00 UTC;FALSE
7;3128;"CZ";2021-07-13 15:56:00 UTC--2021-07-13 16:59:00 UTC;FALSE
7;3129;"CZ";2021-07-13 18:02:00 UTC--2021-07-13 18:42:00 UTC;FALSE
7;3127;"CZ";2021-07-16 18:58:00 UTC--2021-07-16 19:45:00 UTC;FALSE
7;3131;"CZ";2021-07-18 17:10:00 UTC--2021-07-18 17:56:00 UTC;FALSE
7;3132;"CZ";2021-07-19 19:07:00 UTC--2021-07-19 19:46:00 UTC;FALSE
7;3110;"CZ";2021-08-06 11:33:00 UTC--2021-08-06 12:17:00 UTC;FALSE
7;3114;"CZ";2021-08-08 19:29:00 UTC--2021-08-08 20:34:00 UTC;FALSE
7;3111;"CZ";2021-08-14 15:48:00 UTC--2021-08-14 17:00:00 UTC;FALSE
8;1559;"CZ";2021-07-07 18:29:00 UTC--2021-07-07 19:22:00 UTC;FALSE
8;1555;"CZ";2021-07-11 16:29:00 UTC--2021-07-11 17:24:00 UTC;FALSE
8;1074;"CZ";2021-07-14 13:20:00 UTC--2021-07-14 14:13:00 UTC;FALSE
8;1073;"CZ";2021-07-16 18:27:00 UTC--2021-07-16 19:36:00 UTC;FALSE
8;1556;"CZ";2021-07-17 14:00:00 UTC--2021-07-17 14:57:00 UTC;FALSE
8;1069;"CZ";2021-07-17 16:03:00 UTC--2021-07-17 17:08:00 UTC;FALSE
8;1558;"CZ";2021-07-20 16:16:00 UTC--2021-07-20 17:21:00 UTC;FALSE
8;1070;"CZ";2021-07-20 18:44:00 UTC--2021-07-20 19:15:00 UTC;FALSE
8;1868;"CZ";2021-07-28 19:19:00 UTC--2021-07-28 20:23:00 UTC;FALSE
8;1869;"CZ";2021-08-01 10:07:00 UTC--2021-08-01 10:57:00 UTC;FALSE
8;1867;"CZ";2021-08-02 10:35:00 UTC--2021-08-02 12:08:00 UTC;FALSE
8;1872;"CZ";2021-08-03 13:44:00 UTC--2021-08-03 14:33:00 UTC;FALSE
8;3262;"CZ";2021-08-04 17:08:00 UTC--2021-08-04 17:55:00 UTC;FALSE
8;3264;"CZ";2021-08-04 19:31:00 UTC--2021-08-04 20:49:00 UTC;FALSE
8;3259;"CZ";2021-08-06 14:24:00 UTC--2021-08-06 15:02:00 UTC;FALSE
9;2626;"CZ";2021-07-13 18:04:00 UTC--2021-07-13 18:52:00 UTC;FALSE
9;2454;"CZ";2021-07-14 15:43:00 UTC--2021-07-14 16:42:00 UTC;FALSE
9;2623;"CZ";2021-07-16 19:44:00 UTC--2021-07-16 20:36:00 UTC;FALSE
9;2452;"CZ";2021-07-18 16:58:00 UTC--2021-07-18 17:43:00 UTC;FALSE
9;2628;"CZ";2021-07-18 20:32:00 UTC--2021-07-18 21:11:00 UTC;FALSE
9;2453;"CZ";2021-07-19 16:34:00 UTC--2021-07-19 17:15:00 UTC;FALSE
9;2450;"CZ";2021-07-20 14:46:00 UTC--2021-07-20 15:49:00 UTC;FALSE
9;2625;"CZ";2021-07-20 18:29:00 UTC--2021-07-20 19:27:00 UTC;FALSE
9;2451;"CZ";2021-07-25 15:42:00 UTC--2021-07-25 16:42:00 UTC;FALSE
9;2900;"CZ";2021-08-04 18:30:00 UTC--2021-08-04 19:26:00 UTC;FALSE
9;2902;"CZ";2021-08-05 16:31:00 UTC--2021-08-05 17:27:00 UTC;FALSE
9;2899;"CZ";2021-08-08 18:48:00 UTC--2021-08-08 20:04:00 UTC;FALSE
10;2341;"CZ";2021-07-17 18:05:00 UTC--2021-07-17 18:58:00 UTC;FALSE
10;2345;"CZ";2021-07-17 22:02:00 UTC--2021-07-17 22:58:00 UTC;FALSE
10;2343;"CZ";2021-07-20 12:25:00 UTC--2021-07-20 13:19:00 UTC;FALSE
10;2344;"CZ";2021-07-20 14:36:00 UTC--2021-07-20 15:38:00 UTC;FALSE
10;2265;"CZ";2021-08-05 18:33:00 UTC--2021-08-05 19:52:00 UTC;FALSE
10;1489;"CZ";2021-08-08 18:31:00 UTC--2021-08-08 19:36:00 UTC;FALSE
10;1490;"CZ";2021-08-08 20:18:00 UTC--2021-08-08 21:03:00 UTC;FALSE
10;2267;"CZ";2021-08-09 14:20:00 UTC--2021-08-09 15:21:00 UTC;FALSE
10;2268;"CZ";2021-08-09 15:54:00 UTC--2021-08-09 16:37:00 UTC;FALSE
10;1494;"CZ";2021-08-09 19:59:00 UTC--2021-08-09 20:32:00 UTC;FALSE
10;1493;"CZ";2021-08-11 19:27:00 UTC--2021-08-11 20:30:00 UTC;FALSE
10;1492;"CZ";2021-08-13 19:19:00 UTC--2021-08-13 20:18:00 UTC;FALSE
11;2989;"CZ";2021-08-14 10:15:00 UTC--2021-08-14 11:15:00 UTC;FALSE
11;2991;"CZ";2021-08-14 12:01:00 UTC--2021-08-14 12:57:00 UTC;FALSE
11;707;"CZ";2021-08-17 14:55:00 UTC--2021-08-17 15:57:00 UTC;FALSE
11;705;"CZ";2021-08-18 11:02:00 UTC--2021-08-18 12:11:00 UTC;FALSE
11;2993;"CZ";2021-08-18 13:47:00 UTC--2021-08-18 14:23:00 UTC;FALSE
11;703;"CZ";2021-08-19 11:08:00 UTC--2021-08-19 12:09:00 UTC;FALSE
11;706;"CZ";2021-08-19 12:41:00 UTC--2021-08-19 13:45:00 UTC;FALSE
11;2992;"CZ";2021-08-19 14:40:00 UTC--2021-08-19 15:23:00 UTC;FALSE
11;2994;"CZ";2021-08-19 16:59:00 UTC--2021-08-19 17:58:00 UTC;FALSE
11;708;"CZ";2021-08-28 16:07:00 UTC--2021-08-28 17:10:00 UTC;FALSE
12;139;"CZ";2021-07-10 11:52:00 UTC--2021-07-10 12:57:00 UTC;FALSE
12;141;"CZ";2021-07-12 18:12:00 UTC--2021-07-12 19:12:00 UTC;FALSE
12;142;"CZ";2021-07-12 20:18:00 UTC--2021-07-12 21:29:00 UTC;FALSE
12;143;"CZ";2021-07-14 18:01:00 UTC--2021-07-14 18:58:00 UTC;FALSE
12;267;"CZ";2021-07-23 15:39:00 UTC--2021-07-23 16:31:00 UTC;FALSE
12;269;"CZ";2021-07-25 14:44:00 UTC--2021-07-25 15:27:00 UTC;FALSE
12;270;"CZ";2021-07-25 17:17:00 UTC--2021-07-25 18:10:00 UTC;FALSE
12;266;"CZ";2021-07-31 16:42:00 UTC--2021-07-31 17:49:00 UTC;FALSE
13;2520;"CZ";2021-07-08 10:47:00 UTC--2021-07-08 11:53:00 UTC;FALSE
13;2517;"CZ";2021-07-10 18:36:00 UTC--2021-07-10 19:32:00 UTC;FALSE
13;2519;"CZ";2021-07-11 21:45:00 UTC--2021-07-11 22:38:00 UTC;FALSE
13;2518;"CZ";2021-07-14 18:23:00 UTC--2021-07-14 18:56:00 UTC;FALSE
13;1610;"CZ";2021-07-23 18:10:00 UTC--2021-07-23 19:20:00 UTC;FALSE
13;1613;"CZ";2021-07-25 15:00:00 UTC--2021-07-25 15:45:00 UTC;FALSE
13;1614;"CZ";2021-07-25 16:45:00 UTC--2021-07-25 17:43:00 UTC;FALSE
13;1612;"CZ";2021-07-27 16:18:00 UTC--2021-07-27 17:41:00 UTC;FALSE
13;1611;"CZ";2021-07-29 17:33:00 UTC--2021-07-29 18:35:00 UTC;FALSE
14;918;"CZ";2021-07-07 20:40:00 UTC--2021-07-07 21:45:00 UTC;FALSE
14;807;"CZ";2021-07-08 09:36:00 UTC--2021-07-08 11:04:00 UTC;FALSE
14;810;"CZ";2021-07-08 11:34:00 UTC--2021-07-08 12:10:00 UTC;FALSE
14;914;"CZ";2021-07-10 16:52:00 UTC--2021-07-10 18:17:00 UTC;FALSE
14;917;"CZ";2021-07-10 19:19:00 UTC--2021-07-10 20:34:00 UTC;FALSE
14;806;"CZ";2021-07-11 18:22:00 UTC--2021-07-11 19:22:00 UTC;FALSE
14;805;"CZ";2021-07-12 11:11:00 UTC--2021-07-12 12:01:00 UTC;FALSE
14;915;"CZ";2021-07-13 21:43:00 UTC--2021-07-13 22:36:00 UTC;FALSE
14;808;"CZ";2021-07-17 16:30:00 UTC--2021-07-17 17:21:00 UTC;FALSE
